ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,daily,daily_lower,daily_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2022-01-03,178.34983636543214,164.2927264567032,178.84083637621382,178.34983636543214,178.34983636543214,-6.781290716338606,-6.781290716338606,-6.781290716338606,9.9280862750042,9.9280862750042,9.9280862750042,0.6583620483973598,0.6583620483973598,0.6583620483973598,-17.36773903974016,-17.36773903974016,-17.36773903974016,0.0,0.0,0.0,171.56854564909352
2022-01-04,178.0146270439299,163.401110575344,177.87513858672588,178.0146270439299,178.0146270439299,-7.232582680340219,-7.232582680340219,-7.232582680340219,9.9280862750042,9.9280862750042,9.9280862750042,0.5784665131800367,0.5784665131800367,0.5784665131800367,-17.739135468524452,-17.739135468524452,-17.739135468524452,0.0,0.0,0.0,170.78204436358968
2022-01-05,177.67941772242764,162.65223017204545,176.97550764435218,177.67941772242764,177.67941772242764,-7.789874456202501,-7.789874456202501,-7.789874456202501,9.9280862750042,9.9280862750042,9.9280862750042,0.3425052923609456,0.3425052923609456,0.3425052923609456,-18.060466023567646,-18.060466023567646,-18.060466023567646,0.0,0.0,0.0,169.88954326622513
2022-01-06,177.3442084009254,161.78005488311018,176.22003552356844,177.3442084009254,177.3442084009254,-8.105183951184877,-8.105183951184877,-8.105183951184877,9.9280862750042,9.9280862750042,9.9280862750042,0.2957446451934141,0.2957446451934141,0.2957446451934141,-18.329014871382487,-18.329014871382487,-18.329014871382487,0.0,0.0,0.0,169.23902444974053
2022-01-07,177.00899907942315,161.8846318864277,176.2460045383181,177.00899907942315,177.00899907942315,-8.007522168458685,-8.007522168458685,-8.007522168458685,9.9280862750042,9.9280862750042,9.9280862750042,0.6069431579871657,0.6069431579871657,0.6069431579871657,-18.542551601450047,-18.542551601450047,-18.542551601450047,0.0,0.0,0.0,169.00147691096447
2022-01-10,176.00337111491643,160.2210774604337,175.07929035955246,176.00337111491643,176.00337111491643,-8.251646682255975,-8.251646682255975,-8.251646682255975,9.9280862750042,9.9280862750042,9.9280862750042,0.6583620483971887,0.6583620483971887,0.6583620483971887,-18.83809500565736,-18.83809500565736,-18.83809500565736,0.0,0.0,0.0,167.75172443266047
2022-01-11,175.66816179341419,159.8765145057503,174.43229906590594,175.66816179341419,175.66816179341419,-8.31244668825263,-8.31244668825263,-8.31244668825263,9.9280862750042,9.9280862750042,9.9280862750042,0.5784665131802545,0.5784665131802545,0.5784665131802545,-18.818999476437085,-18.818999476437085,-18.818999476437085,0.0,0.0,0.0,167.35571510516155
2022-01-12,175.33295247191194,159.10610509978207,173.82966966081418,175.33295247191194,175.33295247191194,-8.470392748129516,-8.470392748129516,-8.470392748129516,9.9280862750042,9.9280862750042,9.9280862750042,0.34250529236100924,0.34250529236100924,0.34250529236100924,-18.740984315494725,-18.740984315494725,-18.740984315494725,0.0,0.0,0.0,166.86255972378243
2022-01-13,174.9977431504097,158.8349821313921,174.23868802541597,174.9977431504097,174.9977431504097,-8.380837130932305,-8.380837130932305,-8.380837130932305,9.9280862750042,9.9280862750042,9.9280862750042,0.2957446451940674,0.2957446451940674,0.2957446451940674,-18.60466805113057,-18.60466805113057,-18.60466805113057,0.0,0.0,0.0,166.6169060194774
2022-01-14,174.66253382890744,159.5159121055779,173.8538076544239,174.66253382890744,174.66253382890744,-7.8760830615566215,-7.8760830615566215,-7.8760830615566215,9.9280862750042,9.9280862750042,9.9280862750042,0.6069431579893012,0.6069431579893012,0.6069431579893012,-18.411112494550117,-18.411112494550117,-18.411112494550117,0.0,0.0,0.0,166.78645076735083
