feature,importance
EMA_5,0.6439692024348138
lag_1,0.33210093027965165
MA_5,0.01101092505306522
momentum,0.004963027922942285
ROC,0.0037121875087874658
std_5,0.0006812445460814907
lag_2,0.0005115306043460381
std_10,0.00047472416614098356
MA_20,0.00034868730142025044
lag_3,0.0003267760793871631
lag_4,0.0002981100493270625
lag_5,0.00028673007555760977
lag_8,0.000251213113499472
lag_6,0.00024007858712602584
lag_7,0.0002193343029096719
lag_10,0.0002140553496576106
lag_9,0.00019995761695278946
MA_10,0.00019128500833350055
